tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0054724,movie,I Eat Your Skin,Zombie,0,1971,\N,92,Horror,3.6,1735
tt0059285,movie,House of the Black Death,House of the Black Death,0,1971,\N,89,Horror,3.4,394
tt0060951,movie,A Scream in the Streets,A Scream in the Streets,0,1973,\N,91,"Action,Crime,Horror",4.6,470
tt0062690,movie,The Awakening of the Beast,O Ritual dos Sádicos,0,1970,\N,93,"Drama,Horror",5.9,1363
tt0062701,movie,Balsamus l'uomo di Satana,Balsamus l'uomo di Satana,0,1970,\N,99,"Drama,Fantasy,Horror",6.0,89
tt0063132,movie,The Incredible Invasion,The Incredible Invasion,0,1971,\N,90,"Horror,Sci-Fi",3.3,313
tt0063142,movie,Isle of the Snake People,La muerte viviente,0,1971,\N,90,"Horror,Mystery",3.4,1094
tt0063552,movie,Hollywood Horror House,Savage Intruder,0,1970,\N,91,"Horror,Thriller",5.5,601
tt0063608,movie,Sinthia: The Devil's Doll,Sinthia: The Devil's Doll,0,1970,\N,78,Horror,3.6,361
tt0064105,movie,The Ancines Woods,El bosque del lobo,0,1970,\N,90,"Drama,Horror",6.3,589
tt0064143,movie,Siege of Terror,Cerco de terror,0,1970,\N,90,"Horror,Thriller",4.2,32
tt0064188,movie,Crescendo,Crescendo,0,1970,\N,83,"Horror,Thriller",5.2,869
tt0064273,movie,And God Said to Cain...,E Dio disse a Caino...,0,1970,\N,93,"Horror,Western",6.6,1808
tt0064413,movie,Helena y Fernanda,Helena y Fernanda,0,1970,\N,94,"Horror,Thriller",3.8,18
tt0064494,movie,Eugenie,De Sade 70,0,1970,\N,87,"Drama,Horror",5.2,2127
tt0064546,movie,Witchhammer,Kladivo na carodejnice,0,1970,\N,107,"Drama,History,Horror",7.7,3073
tt0064687,movie,Assignment Terror,Los monstruos del terror,0,1970,\N,87,"Horror,Sci-Fi",4.1,1116
tt0064704,movie,Girly,"Mumsy, Nanny, Sonny & Girly",0,1970,\N,102,"Comedy,Crime,Horror",6.5,1685
tt0064727,movie,Night of the Blood Monster,Il trono di fuoco,0,1970,\N,84,"Biography,Horror",5.2,1649
tt0064787,movie,A Quiet Place to Kill,Paranoia,0,1970,\N,94,"Crime,Drama,Horror",6.3,1526
tt0064902,movie,The Blood Rose,La rose écorchée,0,1970,\N,92,"Horror,Thriller",5.7,539
tt0064904,movie,Hatchet for the Honeymoon,Il rosso segno della follia,0,1970,\N,88,"Horror,Mystery,Thriller",6.3,4598
tt0064949,movie,Scream and Scream Again,Scream and Scream Again,0,1970,\N,95,"Crime,Drama,Horror",5.5,4693
tt0065073,movie,Taste the Blood of Dracula,Taste the Blood of Dracula,0,1970,\N,91,"Drama,Fantasy,Horror",6.3,7224
tt0065143,movie,The Bird with the Crystal Plumage,L'uccello dalle piume di cristallo,0,1970,\N,96,"Horror,Mystery,Thriller",7.1,25576
tt0065168,movie,The Nude Vampire,La vampire nue,0,1970,\N,88,Horror,5.4,1912
tt0065189,movie,Von Haut zu Haut,Von Haut zu Haut,0,1970,\N,73,"Crime,Drama,Horror",4.7,33
tt0065210,movie,Whirlpool,Whirlpool,0,1970,\N,92,"Drama,Horror,Thriller",5.6,673
tt0065222,movie,Women and Bloody Terror,Women and Bloody Terror,0,1970,\N,97,"Crime,Drama,Horror",5.4,61
tt0065390,movie,The Amazing Transplant,The Amazing Transplant,0,1970,\N,77,"Fantasy,Horror,Mystery",4.0,491
tt0065398,movie,And Soon the Darkness,And Soon the Darkness,0,1970,\N,94,"Horror,Mystery,Thriller",6.6,4366
tt0065424,movie,Sweet Kill,Sweet Kill,0,1972,\N,85,"Horror,Thriller",4.9,498
tt0065442,movie,Bacchanale,Bacchanale,1,1970,\N,70,"Adult,Fantasy,Horror",5.9,151
tt0065456,movie,Beast of Blood,Beast of Blood,0,1970,\N,90,"Adventure,Horror",4.8,661
tt0065458,movie,The Amorous Adventures of a Young Postman,"Beiß mich, Liebling",0,1970,\N,102,"Comedy,Horror",3.3,58
tt0065470,movie,Bigfoot,Bigfoot,0,1970,\N,84,"Horror,Sci-Fi,Thriller",2.7,1016
tt0065478,movie,Blood Mania,Blood Mania,0,1970,\N,81,Horror,4.0,1131
tt0065479,movie,Blood of the Iron Maiden,Blood of the Iron Maiden,0,1970,\N,84,Horror,5.1,49
tt0065480,movie,Bloodthirsty Butchers,Bloodthirsty Butchers,0,1970,\N,79,"Horror,Thriller",3.4,700
tt0065483,movie,The Body Beneath,The Body Beneath,0,1970,\N,82,Horror,4.2,629
tt0065491,movie,Mark of the Devil,Hexen bis aufs Blut gequält,0,1970,\N,90,"Drama,History,Horror",6.1,4188
tt0065538,movie,Chanoc contra el tigre y el vampiro,Chanoc contra el tigre y el vampiro,0,1972,\N,85,"Action,Adventure,Horror",5.6,49
tt0065553,movie,Five Dolls for an August Moon,5 bambole per la luna d'agosto,0,1970,\N,82,"Crime,Horror,Mystery",5.7,3657
tt0065569,movie,Count Dracula,"Nachts, wenn Dracula erwacht",0,1970,\N,98,"Drama,Horror",5.6,4167
tt0065580,movie,Countess Dracula,Countess Dracula,0,1971,\N,93,Horror,5.9,5068
tt0065595,movie,Crucible of Horror,The Corpse,0,1971,\N,91,"Drama,Horror,Thriller",5.2,1182
tt0065597,movie,Cry of the Banshee,Cry of the Banshee,0,1970,\N,91,Horror,5.5,3078
tt0065640,movie,Il dio serpente,Il dio serpente,0,1970,\N,94,"Adventure,Drama,Horror",5.1,255
tt0065656,movie,Dorian Gray,Das Bildnis des Dorian Gray,0,1970,\N,93,"Horror,Thriller",5.8,1349
tt0065660,movie,"Dracula, Prisoner of Frankenstein",Drácula contra Frankenstein,0,1972,\N,85,Horror,4.1,916
tt0065669,movie,The Dunwich Horror,The Dunwich Horror,0,1970,\N,90,Horror,5.4,5457
tt0065677,movie,The Forbidden Photos of a Lady Above Suspicion,Le foto proibite di una signora per bene,0,1970,\N,96,"Horror,Mystery,Thriller",6.2,2280
tt0065693,movie,In the Folds of the Flesh,Nelle pieghe della carne,0,1970,\N,92,"Drama,Horror,Thriller",5.4,946
tt0065727,movie,Flesh Feast,Flesh Feast,0,1970,\N,72,"Fantasy,Horror,Mystery",2.5,785
tt0065737,movie,Fragment of Fear,Fragment of Fear,0,1970,\N,94,"Crime,Drama,Horror",6.1,1061
tt0065744,movie,The Shiver of the Vampires,Le frisson des vampires,0,1971,\N,95,"Horror,Mystery",5.6,2416
tt0065750,movie,Fury of the Wolfman,La furia del hombre lobo,0,1972,\N,86,Horror,3.8,944
tt0065761,movie,The Cat o' Nine Tails,Il gatto a nove code,0,1971,\N,112,"Horror,Mystery,Thriller",6.6,13584
tt0065762,movie,The Vampire Happening,Gebissen wird nur nachts - das Happening der Vampire,0,1971,\N,102,"Comedy,Horror",4.7,820
tt0065790,movie,Goodbye Gemini,Goodbye Gemini,0,1970,\N,89,"Crime,Drama,Horror",5.4,483
tt0065851,movie,The Horror of Frankenstein,The Horror of Frankenstein,0,1970,\N,95,"Comedy,Horror,Sci-Fi",5.8,3082
tt0065852,movie,Horror of the Blood Monsters,Horror of the Blood Monsters,0,1970,\N,85,"Adventure,Horror,Sci-Fi",3.1,1160
tt0065854,movie,The House That Dripped Blood,The House That Dripped Blood,0,1971,\N,102,"Drama,Fantasy,Horror",6.5,8060
tt0065856,movie,House of Dark Shadows,House of Dark Shadows,0,1970,\N,97,"Drama,Fantasy,Horror",6.3,3573
tt0065862,movie,Four Moods,Xi nu ai le,0,1970,\N,140,"Drama,Fantasy,Horror",6.7,125
tt0065887,movie,Blood Suckers,Blood Suckers,0,1971,\N,82,Horror,3.9,820
tt0065905,movie,Scream of the Demon Lover,Il castello dalle porte di fuoco,0,1970,\N,98,Horror,5.2,550
tt0065917,movie,Jonathan,Jonathan,0,1970,\N,110,"Drama,Fantasy,Horror",6.0,362
tt0065920,movie,The Joys of Jezebel,The Joys of Jezebel,0,1970,\N,75,"Comedy,Fantasy,Horror",4.1,129
tt0065931,movie,Kaidan Kasane-ga-fuchi,Kaidan Kasane-ga-fuchi,0,1970,\N,82,"Horror,Thriller",7.0,15
tt0065932,movie,Blind Woman's Curse,Kaidan nobori ryû,0,1970,\N,85,"Action,Crime,Horror",6.5,1708
tt0065994,movie,Lokis: A Manuscript of Professor Wittembach,Lokis. Rekopis profesora Wittembacha,0,1970,\N,100,"Fantasy,Horror",6.2,764
tt0066040,movie,Don't Deliver Us from Evil,Mais ne nous délivrez pas du mal,0,1971,\N,102,"Drama,Horror",6.7,2903
tt0066058,movie,Mark of the Witch,Mark of the Witch,0,1970,\N,78,Horror,4.6,635
tt0066077,movie,Moon and Midnight,Midi minuit,0,1970,\N,101,Horror,5.1,78
tt0066104,movie,She Killed in Ecstasy,Sie tötete in Ekstase,0,1971,\N,80,"Drama,Horror",5.6,2143
tt0066132,movie,Web of the Spider,Nella stretta morsa del ragno,0,1971,\N,93,Horror,5.6,900
tt0066141,movie,The Night Visitor,The Night Visitor,0,1971,\N,106,"Crime,Drama,Horror",6.7,2116
tt0066143,movie,Night of the Bloody Transplant,Night of the Bloody Transplant,0,1970,\N,71,Horror,2.7,88
tt0066144,movie,The Night of the Sorcerers,La noche de los brujos,0,1974,\N,80,"Adventure,Drama,Horror",5.1,756
tt0066145,movie,Night of the Witches,Night of the Witches,0,1970,\N,75,"Comedy,Crime,Horror",4.6,118
tt0066160,movie,The Werewolf Versus the Vampire Woman,La noche de Walpurgis,0,1971,\N,82,Horror,5.3,2197
tt0066267,movie,Something Creeping in the Dark,Qualcosa striscia nel buio,0,1971,\N,90,Horror,5.3,439
tt0066285,movie,The Ravager,The Ravager,0,1970,\N,76,"Action,Horror",4.1,207
tt0066349,movie,Bizarre,Secrets of Sex,0,1970,\N,92,"Comedy,Fantasy,Horror",4.5,434
tt0066357,movie,Nightmares Come at Night,Les cauchemars naissent la nuit,1,1970,\N,85,"Crime,Drama,Horror",4.9,734
tt0066359,movie,Sex Ritual of the Occult,Sex Ritual of the Occult,0,1970,\N,82,"Drama,Horror",3.8,87
tt0066360,movie,Sex and the Single Vampire,Sex and the Single Vampire,0,1970,\N,55,"Comedy,Horror",4.1,150
tt0066378,movie,Las siete vidas del gato,Las siete vidas del gato,0,1971,\N,91,"Comedy,Horror,Thriller",3.8,23
tt0066380,movie,Vampyros Lesbos,Vampyros Lesbos,0,1971,\N,89,"Drama,Horror",5.3,5449
tt0066395,movie,A Sword for Brando,Una spada per Brando,0,1970,\N,94,"Adventure,Horror,Mystery",4.4,48
tt0066412,movie,The Strange Vice of Mrs. Wardh,Lo strano vizio della signora Wardh,0,1971,\N,81,"Crime,Horror,Mystery",6.9,5813
tt0066446,movie,Terror in the Streets,Akuma ga yondeiru,0,1970,\N,76,"Horror,Mystery,Thriller",5.7,36
tt0066476,movie,The Touch of Satan,The Touch of Satan,0,1971,\N,90,Horror,2.3,3180
tt0066492,movie,Trog,Trog,0,1970,\N,93,"Horror,Sci-Fi",4.0,3310
tt0066517,movie,"Cuadecuc, vampir","Cuadecuc, vampir",0,1971,\N,70,"Documentary,Horror",6.5,950
tt0066518,movie,The Vampire Lovers,The Vampire Lovers,0,1970,\N,91,Horror,6.4,8191
tt0066519,movie,The Horrible Sexy Vampire,El vampiro de la autopista,0,1971,\N,90,Horror,4.3,385
tt0066554,movie,Die Weibchen,Die Weibchen,0,1970,\N,90,"Drama,Horror,Thriller",5.7,263
tt0066578,movie,The Wizard of Gore,The Wizard of Gore,0,1970,\N,95,Horror,5.2,4163
tt0066600,movie,The Vampire Doll,Yûrei yashiki no kyôfu: Chi wo sû ningyô,0,1970,\N,85,Horror,6.6,1444
tt0066740,movie,The Abominable Dr. Phibes,The Abominable Dr. Phibes,0,1971,\N,94,"Comedy,Horror",7.0,17327
tt0066757,movie,The Feast of Satan,Las amantes del diablo,0,1971,\N,90,"Horror,Mystery",4.6,220
tt0066815,movie,The Beast in the Cellar,The Beast in the Cellar,0,1971,\N,88,"Horror,Thriller",4.9,1196
tt0066816,movie,Beast of the Yellow Night,Beast of the Yellow Night,0,1971,\N,87,Horror,3.5,975
tt0066827,movie,Asylum Erotica,La bestia uccide a sangue freddo,0,1971,\N,89,"Drama,Horror,Mystery",5.0,1947
tt0066845,movie,Will to Die,Blood Legacy,0,1971,\N,82,"Horror,Mystery,Thriller",2.8,934
tt0066846,movie,Blood Shack,Blood Shack,0,1971,\N,55,Horror,2.9,679
tt0066847,movie,Blood Thirst,Blood Thirst,0,1971,\N,74,Horror,4.5,489
tt0066848,movie,Blood and Lace,Blood and Lace,0,1971,\N,87,"Drama,Horror,Thriller",5.4,1296
tt0066849,movie,The Blood on Satan's Claw,The Blood on Satan's Claw,0,1971,\N,97,Horror,6.4,8196
tt0066863,movie,The Brotherhood of Satan,The Brotherhood of Satan,0,1971,\N,92,Horror,5.5,2032
tt0066871,movie,Burke & Hare,Burke & Hare,0,1972,\N,94,"Comedy,Crime,Horror",5.3,596
tt0066887,movie,Capulina contra los vampiros,Capulina contra los vampiros,0,1971,\N,85,"Comedy,Fantasy,Horror",5.7,91
tt0066893,movie,Carnival of Blood,Carnival of Blood,0,1970,\N,87,Horror,3.8,679
tt0066914,movie,A Virgin Among the Living Dead,La nuit des étoiles filantes,0,1973,\N,105,"Drama,Horror",4.9,2844
tt0066923,movie,L'uomo più velenoso del cobra,L'uomo più velenoso del cobra,0,1971,\N,86,"Horror,Mystery,Thriller",5.0,164
tt0066924,movie,The Case of the Scorpion's Tail,La coda dello scorpione,0,1971,\N,95,"Crime,Drama,Horror",6.7,3754
tt0066939,movie,Cut-Throats Nine,Condenados a vivir,0,1972,\N,90,"Crime,Horror,Thriller",6.7,1496
tt0066952,movie,"Count Yorga, Vampire","Count Yorga, Vampire",0,1970,\N,93,"Drama,Fantasy,Horror",5.7,3194
tt0066958,movie,Crucible of Terror,Crucible of Terror,0,1971,\N,91,"Drama,Horror",4.4,784
tt0066980,movie,Queens of Evil,Le regine,0,1970,\N,92,"Fantasy,Horror",6.0,609
tt0066982,movie,Demons of the Mind,Demons of the Mind,0,1972,\N,89,"Horror,Thriller",5.3,2019
tt0066990,movie,Deviation,Deviation,0,1971,\N,89,Horror,5.8,200
tt0066996,movie,Die Screaming Marianne,Die Screaming Marianne,0,1971,\N,101,"Crime,Drama,Horror",4.9,951
tt0067010,movie,Marta,Marta,0,1971,\N,96,"Drama,Horror,Thriller",6.1,269
tt0067016,movie,Dr. Jekyll vs. The Werewolf,Doctor Jekyll y el Hombre Lobo,0,1972,\N,86,Horror,5.6,756
tt0067017,movie,Dracula vs. Frankenstein,Dracula vs. Frankenstein,0,1971,\N,91,"Horror,Sci-Fi",3.5,2312
tt0067040,movie,Eden and After,L'Eden et après,0,1970,\N,93,"Drama,Horror,Mystery",6.4,1447
tt0067063,movie,Escalofrío diabólico,Escalofrío diabólico,0,1972,\N,85,Horror,5.1,43
tt0067094,movie,Beware My Brethren,The Fiend,0,1972,\N,92,Horror,5.3,725
tt0067119,movie,Fright,Fright,0,1971,\N,87,"Horror,Thriller",5.8,2286
tt0067134,movie,The Fifth Cord,Giornata nera per l'ariete,0,1971,\N,93,"Crime,Horror,Mystery",6.6,2780
tt0067169,movie,"Guru, the Mad Monk","Guru, the Mad Monk",0,1970,\N,62,Horror,3.6,692
tt0067175,movie,The Hand of Pleasure,The Hand of Pleasure,0,1971,\N,62,"Comedy,Horror,Sci-Fi",3.2,213
tt0067176,movie,Hands of the Ripper,Hands of the Ripper,0,1971,\N,85,Horror,6.2,3184
tt0067178,movie,They Have Changed Their Face,...hanno cambiato faccia,0,1971,\N,96,"Drama,Horror",6.6,738
tt0067192,movie,The Headless Eyes,The Headless Eyes,0,1971,\N,78,Horror,4.1,572
tt0067210,movie,O Homem Lobo,O Homem Lobo,0,1971,\N,91,Horror,4.1,41
tt0067229,movie,I Drink Your Blood,I Drink Your Blood,0,1971,\N,83,Horror,5.9,4351
tt0067236,movie,The Iguana with the Tongue of Fire,L'iguana dalla lingua di fuoco,0,1971,\N,96,"Crime,Horror,Mystery",5.4,1119
tt0067243,movie,In the Devil's Garden,Assault,0,1971,\N,91,"Crime,Drama,Horror",5.6,900
tt0067245,movie,The Incredible 2-Headed Transplant,The Incredible 2-Headed Transplant,0,1971,\N,88,"Horror,Sci-Fi",3.5,1885
tt0067260,movie,Seven Murders for Scotland Yard,Jack el destripador de Londres,0,1972,\N,87,"Horror,Mystery,Thriller",5.0,367
tt0067282,movie,Jungfrauen-Report,Jungfrauen-Report,0,1972,\N,82,"Comedy,Drama,Horror",4.4,342
tt0067283,movie,Justine De Sade,Justine de Sade,0,1972,\N,100,"Drama,Horror",5.0,481
tt0067321,movie,Lady Frankenstein,Lady Frankenstein,0,1971,\N,99,Horror,5.2,2625
tt0067341,movie,Let's Scare Jessica to Death,Let's Scare Jessica to Death,0,1971,\N,89,"Drama,Horror,Mystery",6.4,9696
tt0067352,movie,La llamada del vampiro,La llamada del vampiro,0,1972,\N,102,Horror,4.5,175
tt0067367,movie,Lust for a Vampire,Lust for a Vampire,0,1971,\N,91,Horror,5.7,3863
tt0067384,movie,Short Night of Glass Dolls,La corta notte delle bambole di vetro,0,1971,\N,97,"Horror,Mystery",6.6,3907
tt0067386,movie,The Legend of Doom House,Malpertuis,0,1971,\N,125,"Drama,Fantasy,Horror",6.6,1737
tt0067396,movie,The Murder Mansion,La mansión de la niebla,0,1972,\N,86,"Horror,Thriller",5.2,1581
tt0067417,movie,Exorcism's Daughter,Las melancólicas,0,1971,\N,96,"Drama,Horror",4.8,160
tt0067419,movie,The Mephisto Waltz,The Mephisto Waltz,0,1971,\N,115,"Horror,Mystery,Thriller",6.1,3418
tt0067446,movie,Death Walks on High Heels,La morte cammina con i tacchi alti,0,1971,\N,108,"Crime,Horror,Mystery",6.5,2430
tt0067453,movie,Der Todesrächer von Soho,Der Todesrächer von Soho,0,1972,\N,81,"Crime,Drama,Horror",4.5,426
tt0067454,movie,Multiple Maniacs,Multiple Maniacs,0,1970,\N,91,"Comedy,Crime,Horror",6.5,4804
tt0067459,movie,Queen Doll,Muñeca reina,0,1972,\N,99,"Drama,Horror,Mystery",6.0,64
tt0067461,movie,Resentment of Daughter-in-law,Myonuriui han,0,1972,\N,88,Horror,4.0,10
tt0067469,movie,N. Took the Dice,N. a pris les dés...,0,1972,\N,79,"Drama,Horror",6.0,331
tt0067473,movie,Nightshade,Nachtschatten,0,1972,\N,96,Horror,5.9,75
tt0067479,movie,'Necromania': A Tale of Weird Love!,'Necromania': A Tale of Weird Love!,1,1971,\N,54,"Adult,Horror",3.4,565
tt0067480,movie,The Butcher of Binbrook,Necrophagus,0,1971,\N,86,Horror,4.0,403
tt0067486,movie,The Night Digger,The Night Digger,0,1971,\N,97,"Drama,Horror,Thriller",6.3,1354
tt0067487,movie,The Night Evelyn Came Out of the Grave,La notte che Evelyn uscì dalla tomba,0,1971,\N,103,"Horror,Mystery,Thriller",5.8,3062
tt0067488,movie,The Night God Screamed,The Night God Screamed,0,1971,\N,85,"Crime,Horror,Thriller",5.8,320
tt0067489,movie,What the Peeper Saw,La tua presenza nuda!,0,1972,\N,89,"Crime,Drama,Horror",5.8,1880
tt0067491,movie,Night of Dark Shadows,Night of Dark Shadows,0,1971,\N,95,"Drama,Horror,Mystery",5.4,1885
tt0067499,movie,Nobody Ordered Love,Nobody Ordered Love,0,1972,\N,87,"Drama,Horror",7.0,31
tt0067500,movie,Tombs of the Blind Dead,La noche del terror ciego,0,1972,\N,101,Horror,6.1,6673
tt0067503,movie,Lake of Dracula,Noroi no yakata: Chi o suu me,0,1971,\N,82,Horror,6.2,1155
tt0067505,movie,Night of the Damned,La notte dei dannati,0,1971,\N,90,"Horror,Mystery",5.1,168
tt0067511,movie,Cold Eyes of Fear,Gli occhi freddi della paura,0,1971,\N,91,"Crime,Horror,Thriller",5.4,1035
tt0067513,movie,Eye in the Labyrinth,L'occhio nel labirinto,0,1972,\N,95,"Drama,Horror,Mystery",5.8,1156
tt0067515,movie,Octaman,Octaman,0,1971,\N,79,"Horror,Sci-Fi",3.3,1442
tt0067520,movie,In the Eye of the Hurricane,El ojo del huracán,0,1971,\N,100,"Horror,Romance,Thriller",6.2,639
tt0067556,movie,Cake of Blood,Pastel de sangre,0,1971,\N,89,Horror,4.5,130
tt0067592,movie,Devil's Nightmare,La plus longue nuit du diable,0,1971,\N,95,"Fantasy,Horror",5.9,2298
tt0067594,movie,Point of Terror,Point of Terror,0,1971,\N,88,"Drama,Horror,Mystery",3.8,656
tt0067601,movie,The Possession of Joel Delaney,The Possession of Joel Delaney,0,1972,\N,105,"Drama,Horror,Thriller",5.7,1381
tt0067602,movie,Oasis of Fear,Un posto ideale per uccidere,0,1971,\N,90,"Crime,Horror,Mystery",6.1,1143
tt0067630,movie,The Death Wheelers,Psychomania,0,1973,\N,85,"Adventure,Horror",5.8,3321
tt0067640,movie,When the Gods Fall Asleep,Quando os Deuses Adormecem,0,1972,\N,82,"Comedy,Drama,Horror",5.4,111
tt0067656,movie,A Bay of Blood,Ecologia del delitto,0,1971,\N,84,"Horror,Mystery,Thriller",6.5,13560
tt0067663,movie,The Reincarnate,The Reincarnate,0,1971,\N,122,Horror,4.9,137
tt0067671,movie,The Return of Count Yorga,The Return of Count Yorga,0,1971,\N,97,Horror,5.6,1569
tt0067690,movie,Daughters of Darkness,Les lèvres rouges,0,1971,\N,87,Horror,6.5,7438
tt0067696,movie,Seven Blood-Stained Orchids,Sette orchidee macchiate di rosso,0,1972,\N,92,"Crime,Horror,Mystery",6.3,2892
tt0067697,movie,The Sabbat of the Black Cat,The Sabbat of the Black Cat,0,1973,\N,80,Horror,5.5,9
tt0067707,movie,Santo vs. Frankenstein's Daughter,Santo vs. la hija de Frankestein,0,1972,\N,97,"Action,Adventure,Horror",5.7,283
tt0067708,movie,Santo and Blue Demon vs. Dracula and the Wolf Man,Santo y Blue Demon vs Dracula y el Hombre Lobo,0,1973,\N,90,"Action,Crime,Horror",5.5,468
tt0067713,movie,Scars of Dracula,Scars of Dracula,0,1970,\N,95,Horror,6.0,6757
tt0067716,movie,Schlock,Schlock,0,1973,\N,80,"Comedy,Horror,Sci-Fi",5.5,2087
tt0067732,movie,The Cannibal Man,La semana del asesino,0,1972,\N,98,"Crime,Drama,Horror",6.3,1930
tt0067757,movie,"Simon, King of the Witches","Simon, King of the Witches",0,1971,\N,99,Horror,5.8,942
tt0067780,movie,South of Hell Mountain,South of Hell Mountain,0,1971,\N,87,"Horror,Western",4.2,60
tt0067822,movie,Tam Lin,The Ballad of Tam Lin,0,1970,\N,106,"Horror,Mystery",5.7,800
tt0067836,movie,Glass Ceiling,El techo de cristal,0,1971,\N,92,"Drama,Horror,Mystery",6.3,320
tt0067843,movie,Terror at Orgy Castle,Terror at Orgy Castle,0,1971,\N,63,"Fantasy,Horror",3.7,332
tt0067850,movie,This Stuff'll Kill Ya!,This Stuff'll Kill Ya!,0,1971,\N,99,"Crime,Drama,Horror",3.8,410
tt0067871,movie,The Toy Box,The Toy Box,0,1971,\N,89,"Horror,Mystery,Sci-Fi",4.5,558
tt0067879,movie,Sex of the Devil,Il sesso del diavolo,0,1971,\N,93,"Drama,Horror,Thriller",5.1,92
tt0067885,movie,The Third Part of the Night,Trzecia czesc nocy,0,1971,\N,107,"Drama,Horror,War",7.3,2943
tt0067924,movie,Vampire Circus,Vampire Circus,0,1972,\N,84,Horror,6.3,5179
tt0067929,movie,The Velvet Vampire,The Velvet Vampire,0,1971,\N,80,Horror,5.3,1905
tt0067934,movie,The Legend of Spider Forest,Venom,0,1971,\N,91,Horror,4.6,276
tt0067948,movie,The Invisible Dead,La vie amoureuse de l'homme invisible,0,1970,\N,82,Horror,4.3,576
tt0067950,movie,Requiem for a Vampire,Requiem pour un vampire,0,1972,\N,65,Horror,5.3,2318
tt0067972,movie,Werewolves on Wheels,Werewolves on Wheels,0,1971,\N,80,Horror,4.3,1642
tt0067975,movie,What's the Matter with Helen?,What's the Matter with Helen?,0,1971,\N,101,"Crime,Horror,Musical",6.3,2396
tt0067983,movie,Whoever Slew Auntie Roo?,Whoever Slew Auntie Roo?,0,1972,\N,91,"Horror,Thriller",6.1,2684
tt0067991,movie,Willard,Willard,0,1971,\N,95,Horror,6.2,5945
tt0068005,movie,You'll Like My Mother,You'll Like My Mother,0,1972,\N,92,"Drama,Horror,Thriller",6.6,928
tt0068162,movie,"A.A.A. Masseuse, Good-Looking, Offers Her Services",A.A.A. Massaggiatrice bella presenza offresi...,0,1972,\N,85,"Horror,Thriller",5.1,205
tt0068172,movie,The Adult Version of Jekyll & Hide,The Adult Version of Jekyll & Hide,0,1972,\N,92,"Horror,Sci-Fi",3.8,299
tt0068186,movie,Tropic of Cancer,Al tropico del cancro,0,1972,\N,95,"Crime,Horror,Mystery",5.4,680
tt0068187,movie,Alabama's Ghost,Alabama's Ghost,0,1973,\N,96,Horror,4.9,287
tt0068199,movie,The Devil's Lover,L'amante del demonio,0,1972,\N,80,Horror,4.2,306
tt0068206,movie,Amuck!,Alla ricerca del piacere,0,1972,\N,98,"Crime,Horror,Mystery",6.2,1520
tt0068227,movie,The Killer Is on the Phone,L'assassino... è al telefono,0,1972,\N,92,"Crime,Horror,Mystery",5.3,392
tt0068230,movie,Asylum,Asylum,0,1972,\N,88,Horror,6.5,8607
tt0068231,movie,Asylum of Satan,Asylum of Satan,0,1972,\N,80,Horror,4.0,536
tt0068232,movie,Return of the Evil Dead,El ataque de los muertos sin ojos,0,1973,\N,91,Horror,5.8,3062
tt0068236,movie,Expulsion of the Devil,Au rendez-vous de la mort joyeuse,0,1973,\N,90,"Drama,Fantasy,Horror",5.7,337
tt0068264,movie,Ben,Ben,0,1972,\N,94,"Drama,Horror,Thriller",5.3,3668
tt0068271,movie,Beware! The Blob,Beware! The Blob,0,1972,\N,87,"Comedy,Horror,Sci-Fi",4.1,2598
tt0068272,movie,A White Dress for Marialé,Un bianco vestito per Marialé,0,1972,\N,92,"Horror,Mystery,Thriller",5.7,802
tt0068284,movie,Blacula,Blacula,0,1972,\N,93,"Fantasy,Horror,Romance",5.7,8222
tt0068288,movie,Blood Orgy of the She-Devils,Blood Orgy of the She-Devils,0,1973,\N,73,"Horror,Thriller",3.1,907
tt0068289,movie,Blood Sabbath,Blood Sabbath,0,1972,\N,86,"Adventure,Horror",4.1,673
tt0068290,movie,Blood from the Mummy's Tomb,Blood from the Mummy's Tomb,0,1971,\N,94,Horror,5.6,4028
tt0068294,movie,Bluebeard,Bluebeard,0,1972,\N,125,"Crime,Drama,Horror",5.6,1680
tt0068313,movie,Brain of Blood,Brain of Blood,0,1971,\N,87,"Horror,Sci-Fi",3.1,1040
tt0068324,movie,Bummer,Bummer,0,1973,\N,90,"Crime,Drama,Horror",3.8,350
tt0068343,movie,The Night of the Scorpion,La casa de las muertas vivientes,0,1972,\N,82,"Horror,Mystery,Thriller",5.0,333
tt0068352,movie,The Legend of Blood Castle,Ceremonia sangrienta,0,1973,\N,89,Horror,5.9,869
tt0068370,movie,Children Shouldn't Play with Dead Things,Children Shouldn't Play with Dead Things,0,1972,\N,87,"Comedy,Horror",5.2,5240
tt0068394,movie,Knife of Ice,Il coltello di ghiaccio,0,1972,\N,91,"Horror,Mystery,Thriller",6.0,1490
tt0068414,movie,The Corpse Grinders,The Corpse Grinders,0,1971,\N,72,"Comedy,Horror",4.0,1721
tt0068415,movie,Seven Deaths in the Cats Eyes,La morte negli occhi del gatto,0,1973,\N,95,"Horror,Mystery,Thriller",5.7,1715
tt0068416,movie,What Have You Done to Solange?,Cosa avete fatto a Solange?,0,1972,\N,107,"Horror,Mystery,Thriller",6.9,6200
tt0068424,movie,The Creeping Flesh,The Creeping Flesh,0,1973,\N,92,"Horror,Sci-Fi",6.1,4688
